Wall time,Step,Value
1736433020.440105,120,2.1689956188201904
1736433031.653989,320,2.0750458240509033
1736433035.1451972,380,2.100821018218994
1736433041.89669,500,1.8039137125015259
1736433060.014413,820,1.7784624099731445
1736433062.2854211,860,1.7546758651733398
1736433064.624614,900,1.6938470602035522
1736433065.7402089,920,1.6952202320098877
1736433068.001469,960,1.7681903839111328
1736433074.810451,1080,1.732332706451416
1736433075.953294,1100,1.764817714691162
1736433078.2315562,1140,1.7196823358535767
1736433088.460462,1320,1.6932700872421265
1736433095.364653,1440,1.6570639610290527
1736433096.496943,1460,1.6600866317749023
1736433097.653749,1480,1.6858853101730347
1736433098.8222961,1500,1.7143250703811646
1736433104.544993,1600,1.6781294345855713
1736433113.470704,1760,1.7455508708953857
1736433121.361036,1900,1.7020431756973267
1736433130.281554,2060,1.6779749393463135
1736433133.6034539,2120,1.6729161739349365
1736433134.709849,2140,1.657209873199463
1736433142.482687,2280,1.6851286888122559
1736433148.078034,2380,1.5828237533569336
1736433157.057751,2540,1.6360244750976562
1736433160.44533,2600,1.6436325311660767
1736433161.549608,2620,1.6448293924331665
1736433171.679028,2800,1.6157234907150269
1736433173.938494,2840,1.6943169832229614
1736433175.0711029,2860,1.6353274583816528
1736433184.275444,3020,1.62083899974823
1736433189.996017,3120,1.677438497543335
1736433192.200073,3160,1.6677831411361694
1736433193.2968352,3180,1.664551854133606
1736433203.199853,3360,1.6714272499084473
1736433204.304302,3380,1.6568121910095215
1736433207.6251378,3440,1.5528085231781006
1736433214.315381,3560,1.6386057138442993
1736433215.439839,3580,1.6072688102722168
1736433221.0190332,3680,1.6461944580078125
1736433223.23929,3720,1.6451669931411743
1736433224.354475,3740,1.694524884223938
1736433228.838119,3820,1.6722341775894165
1736433229.962618,3840,1.6230841875076294
1736433237.839542,3980,1.6404228210449219
1736433246.901504,4140,1.6437861919403076
1736433248.0295832,4160,1.6371967792510986
1736433249.152097,4180,1.6202675104141235
1736433253.692238,4260,1.642937421798706
1736433266.264825,4480,1.636769413948059
1736433273.115103,4600,1.6421440839767456
1736433278.6462982,4700,1.6487196683883667
1736433281.9694889,4760,1.516695499420166
1736433295.337138,5000,1.6472079753875732
1736433302.052659,5120,1.618652105331421
1736433307.672513,5220,1.6433284282684326
1736433311.054924,5280,1.6083637475967407
1736433315.552417,5360,1.5904127359390259
1736433320.048674,5440,1.6053944826126099
1736433322.321941,5480,1.6027942895889282
1736433327.954148,5580,1.603381633758545
1736433343.952627,5860,1.5614776611328125
1736433349.738515,5960,1.6222827434539795
1736433350.917187,5980,1.5928218364715576
1736433356.786336,6080,1.659908652305603
1736433361.25488,6160,1.588728427886963
1736433362.384942,6180,1.6594384908676147
1736433364.62373,6220,1.5951508283615112
1736433373.5178921,6380,1.5836859941482544
1736433374.628483,6400,1.4865977764129639
1736433381.331269,6520,1.6275851726531982
1736433382.443902,6540,1.5739818811416626
1736433383.564404,6560,1.6249287128448486
1736433386.9213738,6620,1.6574634313583374
1736433397.146911,6800,1.5679445266723633
1736433406.234069,6960,1.6026641130447388
1736433424.5404859,7280,1.593234658241272
1736433429.1200168,7360,1.5859006643295288
1736433436.060746,7480,1.6326701641082764
1736433440.505866,7560,1.668821930885315
1736433442.723584,7600,1.630072832107544
1736433665.8608892,7860,1.3225458860397339
1736433667.029839,7880,1.2477197647094727
1736433685.7996118,8200,1.1815996170043945
1736433701.325742,8460,1.175653338432312
1736433702.5173938,8480,1.2233604192733765
1736433704.899429,8520,1.1664968729019165
1736433711.875019,8640,1.1964164972305298
1736433722.3609972,8820,1.1273972988128662
1736433724.675301,8860,1.1351855993270874
1736433725.84929,8880,1.146588683128357
1736433729.3451579,8940,1.1834056377410889
1736433736.347701,9060,1.1394670009613037
1736433746.860037,9240,1.1685692071914673
1736433750.386239,9300,1.172874093055725
1736433751.563881,9320,1.1669719219207764
1736433762.360099,9500,1.1517105102539062
1736433763.539127,9520,1.1525609493255615
1736433780.863065,9820,1.1717599630355835
1736433783.1807191,9860,1.1244885921478271
1736433785.499528,9900,1.137802243232727
1736433801.82252,10180,1.1068025827407837
1736433807.671084,10280,1.1012288331985474
1736433810.0068622,10320,1.0889334678649902
1736433813.5298061,10380,1.113558053970337
1736433822.9165661,10540,1.100895643234253
1736433831.52161,10660,1.0922398567199707
1736433833.898865,10700,1.0467084646224976
1736433837.432713,10760,1.1078975200653076
1736433844.574697,10880,1.0948725938796997
1736433850.492648,10980,1.1117058992385864
1736433851.6819332,11000,1.0924625396728516
1736433862.1806898,11180,1.0701658725738525
1736433864.492485,11220,1.064631462097168
1736433869.143268,11300,1.085396647453308
1736433870.304088,11320,1.0860239267349243
1736433876.1179872,11420,1.0613435506820679
1736433880.796279,11500,1.064204216003418
1736433881.96046,11520,1.0811779499053955
1736433887.767748,11620,1.0802981853485107
1736433890.101716,11660,1.0569593906402588
1736433891.287269,11680,1.0492470264434814
1736433893.638677,11720,1.0708459615707397
1736433895.97397,11760,1.0584628582000732
