Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
Observer,0.78,-,0.00,0.00,0.50,0.22
Factory Method,0.89,0.75,1.00,0.86,0.92,0.75
Decorator,0.78,0.33,1.00,0.50,0.88,0.33
Builder,-,-,-,-,-,-
Memento,-,-,-,-,-,-
Singleton,0.89,1.00,0.50,0.67,0.75,0.61
Adapter,1.00,1.00,1.00,1.00,1.00,1.00
Overall,0.87,0.77,0.70,0.60,0.81,0.58
