Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
Builder,-,-,-,-,-,-
Observer,1.00,1.00,1.00,1.00,1.00,1.00
Adapter,-,-,-,-,-,-
Singleton,0.91,0.50,1.00,0.67,0.95,0.50
Factory Method,-,-,-,-,-,-
Memento,-,-,-,-,-,-
Decorator,0.82,1.00,0.33,0.50,0.67,0.52
Overall,0.91,0.83,0.78,0.72,0.87,0.67
