Language,Records (Total),Interactions (Total),Knows Record,Calls Record,Extended by Record,Creates Record,Returns Record
C++,4,3,1,0,1,1,0
Java,4,3,1,0,1,1,0
Diff,0,0,0,0,0,0,0
