Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
Builder,0.91,1.00,0.78,0.88,0.89,0.87
Observer,1.00,1.00,1.00,1.00,1.00,1.00
Adapter,-,-,-,-,-,-
Singleton,-,-,-,-,-,-
Factory Method,0.86,0.25,1.00,0.40,0.93,0.25
Memento,-,-,-,-,-,-
Decorator,-,-,-,-,-,-
Overall,0.92,0.75,0.93,0.76,0.94,0.71
