Language,Records (Total),Interactions (Total),Knows Record,Calls Record,Extended by Record,Creates Record,Returns Record
C++,5,4,1,0,3,0,0
Java,5,4,1,0,3,0,0
Diff,0,0,0,0,0,0,0
