Wall time,Step,Value
1735547729.438168,120,2.323622941970825
1735547744.737037,380,1.849614143371582
1735547751.470519,500,1.5583487749099731
1735547769.705877,820,1.650524377822876
1735547771.968456,860,1.6078094244003296
1735547775.383151,920,1.5624388456344604
1735547777.639533,960,1.633223533630371
1735547784.492495,1080,1.5686651468276978
1735547787.9596632,1140,1.358384132385254
1735547805.281775,1440,1.1532427072525024
1735547808.777199,1500,1.1816421747207642
1735547831.737115,1900,1.1637341976165771
1735547840.68907,2060,1.1458308696746826
1735547844.051466,2120,1.1416882276535034
1735547845.2076092,2140,1.133583664894104
1735547853.122283,2280,1.1402552127838135
1735547867.880987,2540,1.103622555732727
1735547882.9119081,2800,1.100498914718628
1735547895.583103,3020,1.1208150386810303
1735547901.410562,3120,1.1299629211425781
1735547904.7594209,3180,1.1329169273376465
1735547914.9845288,3360,1.1517596244812012
1735547916.1377358,3380,1.1271781921386719
1735547927.421398,3580,1.0985606908798218
1735547933.122827,3680,1.1220645904541016
1735547935.4293,3720,1.135892391204834
1735547936.563572,3740,1.152666687965393
1735547941.2438269,3820,1.1291910409927368
1735547950.500888,3980,1.128243088722229
1735547959.839276,4140,1.122957706451416
1735547961.010478,4160,1.1140252351760864
1735547966.9160619,4260,1.1133463382720947
1735547979.657645,4480,1.114654779434204
1735547986.5942888,4600,1.1121824979782104
1735547992.183553,4700,1.125136137008667
1735547995.5415199,4760,1.0484646558761597
1735548009.335951,5000,1.129284381866455
1735548016.109681,5120,1.0945377349853516
1735548021.7565491,5220,1.1219826936721802
1735548029.7826781,5360,1.0855098962783813
1735548034.4132302,5440,1.0965220928192139
1735548036.763296,5480,1.103983759880066
1735548059.095078,5860,1.0686664581298828
1735548064.9518552,5960,1.1137851476669312
1735548066.156965,5980,1.0881016254425049
1735548071.877511,6080,1.1273910999298096
1735548077.583138,6180,1.1371098756790161
1735548079.8248582,6220,1.0950343608856201
1735548088.837866,6380,1.0772544145584106
1735548089.9586911,6400,1.02530038356781
1735548102.428117,6620,1.1290862560272217
1735548112.726775,6800,1.0804195404052734
1735548121.9270148,6960,1.10170316696167
1735548140.734627,7280,1.0929903984069824
1735548145.454117,7360,1.0849634408950806
1735548157.0205271,7560,1.1274076700210571
1735548411.4976819,8460,1.0953614711761475
1735548412.664916,8480,1.099414587020874
1735548422.018091,8640,1.1021422147750854
1735548432.81875,8820,1.1172230243682861
1735548435.130663,8860,1.1320183277130127
1735548436.250603,8880,1.1012853384017944
1735548439.660469,8940,1.0844829082489014
1735548446.560818,9060,1.0850740671157837
1735548456.838068,9240,1.0630226135253906
1735548460.442024,9300,1.0906068086624146
1735548461.656694,9320,1.0944066047668457
1735548473.3321931,9520,1.1031588315963745
1735548493.47762,9860,1.1096365451812744
1735548495.830549,9900,1.0959681272506714
1735548512.819392,10180,1.0841729640960693
1735548518.763974,10280,1.0946274995803833
1735548521.106139,10320,1.1166844367980957
1735548524.585461,10380,1.1147162914276123
1735548533.927007,10540,1.1120067834854126
1735548540.822948,10660,1.101305365562439
1735548543.171084,10700,1.0826703310012817
1735548546.67788,10760,1.0932060480117798
1735548553.696914,10880,1.105150580406189
1735548559.508148,10980,1.0692665576934814
1735548571.131876,11180,1.1339638233184814
1735548578.1259809,11300,1.1081470251083374
1735548585.1140742,11420,1.1157269477844238
1735548589.770598,11500,1.0908490419387817
1735548596.779371,11620,1.0905674695968628
1735548599.120233,11660,1.0759546756744385
1735548602.652543,11720,1.1007007360458374
1735548604.9582021,11760,1.1025748252868652
1735548606.077815,11780,1.084395408630371
1735548611.7337222,11880,1.0918253660202026
1735548612.857758,11900,1.1036548614501953
1735548623.033215,12080,1.101460576057434
1735548632.096184,12240,1.098109245300293
1735548637.7677739,12340,1.1000399589538574
1735548643.473496,12440,1.1302194595336914
1735548645.7755342,12480,1.0832726955413818
1735548659.5655072,12720,1.0568146705627441
1735548667.64407,12860,1.0868414640426636
1735548668.790207,12880,1.083856463432312
1735548671.117496,12920,1.085701584815979
1735548673.470933,12960,1.1214797496795654
1735548674.614731,12980,1.0728708505630493
1735548676.91328,13020,1.1397325992584229
1735548690.812952,13260,1.0846304893493652
1735548694.200795,13320,1.0750503540039062
1735548698.733223,13400,1.0993813276290894
1735548702.114623,13460,1.088003158569336
1735548705.5082119,13520,1.0812039375305176
1735548710.050773,13600,1.1078290939331055
1735548711.192019,13620,1.0852277278900146
1735548715.755251,13700,1.0755099058151245
1735548721.4234319,13800,1.080171823501587
1735548734.037623,14020,1.110512375831604
1735548742.1020522,14160,1.079345703125
1735548751.330341,14320,1.0881823301315308
1735548755.929684,14400,1.0857073068618774
1735548759.414047,14460,1.078688144683838
1735548760.59481,14480,1.1009066104888916
1735548761.7379148,14500,1.1352468729019165
1735548769.892711,14640,1.0569701194763184
1735548776.6448882,14760,1.113233208656311
1735548778.8938801,14800,1.0873841047286987
1735548780.0161731,14820,1.1197669506072998
1735548784.544102,14900,1.0758402347564697
1735548789.100384,14980,1.1454087495803833
1735548793.694788,15060,1.130719780921936
1735548794.919122,15080,1.1103863716125488
1735548799.920264,15160,1.0979397296905518
1735548810.6659992,15340,1.1093791723251343
1735548815.252736,15420,1.094778060913086
1735548816.399182,15440,1.0816084146499634
1735548817.551577,15460,1.105787754058838
1735548819.8397682,15500,1.0901713371276855
1735548820.982293,15520,1.030648112297058
1735549031.832407,15660,0.9303305745124817
1735549036.48625,15740,0.7656322717666626
1735549037.664237,15760,0.7620416879653931
1735549040.0032399,15800,0.787988007068634
1735549042.347492,15840,0.7372408509254456
1735549045.883925,15900,0.7667827010154724
1735549047.056362,15920,0.7020502090454102
1735549048.231942,15940,0.7375733256340027
1735549052.968144,16020,0.7451317310333252
1735549057.7951832,16100,0.7368603348731995
1735549063.697181,16200,0.7229572534561157
1735549064.8735092,16220,0.732673168182373
1735549066.031164,16240,0.7312535643577576
1735549093.422013,16700,0.7281604409217834
1735549098.0811641,16780,0.701261043548584
1735549100.392469,16820,0.7258301973342896
1735549106.2651782,16920,0.7365348935127258
1735549134.6440809,17400,0.7472743391990662
1735549137.3086588,17440,0.6879332661628723
1735549144.059399,17540,0.7148993611335754
1735549146.3869078,17580,0.7358579039573669
1735549151.015061,17660,0.7307030558586121
1735549153.479166,17700,0.7094631195068359
1735549162.8976882,17860,0.7269797921180725
1735549169.916408,17980,0.7057732343673706
1735549174.6904,18060,0.6989978551864624
1735549183.194417,18200,0.7089027166366577
1735549185.914392,18240,0.7114811539649963
1735549193.9617121,18360,0.7022160887718201
1735549197.106954,18400,0.7103809118270874
1735549200.857862,18460,0.6857179403305054
1735549204.4682932,18520,0.6863769888877869
1735549214.0958989,18680,0.7011688351631165
1735549215.268775,18700,0.7473219037055969
1735549218.766021,18760,0.7180587649345398
1735549226.9474828,18900,0.6922090649604797
1735549230.479409,18960,0.6969457864761353
1735549241.1012921,19140,0.7124621868133545
1735549245.816965,19220,0.6956443190574646
1735549249.362506,19280,0.717892587184906
1735549250.5565052,19300,0.701171338558197
1735549261.21087,19480,0.6852294206619263
1735549262.406615,19500,0.7004466652870178
1735549267.1627479,19580,0.8161197900772095
1735549269.543227,19620,0.7082266807556152
1735549270.7260191,19640,0.7176917195320129
1735549275.5115478,19720,0.6817312836647034
1735549276.691058,19740,0.7072925567626953
1735549280.297994,19800,0.6962491273880005
1735549281.4935281,19820,0.7120711803436279
1735549291.091885,19980,0.6784476637840271
1735549295.936695,20060,0.7019913792610168
1735549298.3399801,20100,0.6970672011375427
1735549300.731522,20140,0.6920410394668579
1735549301.8898969,20160,0.6847414970397949
1735549312.4135199,20340,0.706399142742157
1735549315.929315,20400,0.7221754789352417
1735549325.342061,20560,0.7058064341545105
1735549327.6958468,20600,0.6923713088035583
1735549339.6478772,20800,0.6870957612991333
1735549347.993906,20940,0.7025880813598633
1735549363.514225,21200,0.6792013645172119
1735549370.579057,21320,0.6882526874542236
1735549374.153453,21380,0.6969724893569946
1735549376.573946,21420,0.7113085985183716
1735549381.327914,21500,0.6839439272880554
1735549386.0657349,21580,0.7352639436721802
1735549388.372301,21620,0.7049765586853027
1735549394.0893881,21720,0.6944714784622192
1735549395.256161,21740,0.6942306160926819
1735549405.5653608,21920,0.703628420829773
1735549412.515367,22040,0.6871854066848755
1735549417.155005,22120,0.6733916401863098
1735549418.306952,22140,0.6792573928833008
1735549429.9552152,22340,0.6965494155883789
1735549435.828355,22440,0.7183719873428345
1735549452.303492,22720,0.7083389759063721
1735549454.637093,22760,0.6844160556793213
1735549478.306113,23160,0.7174139022827148
1735549479.4667678,23180,0.6909188032150269
1735549484.0538108,23260,0.6719200015068054
1735549485.20931,23280,0.6979281306266785
1735549486.3593721,23300,0.6807332038879395
1735549714.923893,23680,0.5214217901229858
1735549729.632382,23920,0.5096169710159302
1735549730.8317409,23940,0.4998542368412018
1735549738.077657,24060,0.5011134743690491
1735549740.4832482,24100,0.5076063275337219
1735549746.6015842,24200,0.5144853591918945
1735549749.017514,24240,0.5004883408546448
1735549778.0467079,24720,0.5314413905143738
1735549780.427296,24760,0.4942001402378082
1735549792.280391,24960,0.5043725371360779
1735549795.848911,25020,0.49685138463974
1735549805.4522612,25180,0.48038625717163086
1735549809.027968,25240,0.48852697014808655
1735549812.605294,25300,0.5187931656837463
1735549828.208263,25560,0.5111781358718872
1735549836.691637,25700,0.49437057971954346
1735549843.9637609,25820,0.5285068154335022
1735549852.742452,25960,0.4976333677768707
1735549859.9716768,26080,0.4993707835674286
1735549871.94376,26280,0.5003523230552673
1735549877.971731,26380,0.49732697010040283
1735549879.173899,26400,0.5183923244476318
1735549882.792285,26460,0.5130655169487
1735549890.051429,26580,0.4793577790260315
1735549892.463692,26620,0.5119757056236267
1735549896.0919402,26680,0.495878666639328
1735549899.730502,26740,0.4814431369304657
1735549903.352224,26800,0.5088333487510681
1735549904.56728,26820,0.4939206838607788
1735549926.565975,27180,0.506138265132904
1735549945.0500998,27480,0.5176074504852295
1735549963.105231,27780,0.5144187808036804
1735549966.7153761,27840,0.4946037530899048
1735549967.917238,27860,0.4902820885181427
1735549970.332848,27900,0.4963851869106293
1735549971.5292668,27920,0.5203458666801453
1735549997.597331,28340,0.5012079477310181
1735549998.815562,28360,0.5405745506286621
1735550004.950486,28460,0.50063157081604
1735550008.618336,28520,0.4786972105503082
1735550013.510345,28600,0.4940771460533142
1735550015.9816918,28640,0.49614977836608887
1735550020.920737,28720,0.4985801577568054
1735550025.85039,28800,0.4940725266933441
1735550030.7947588,28880,0.5037480592727661
1735550060.980931,29380,0.486709326505661
1735550062.183809,29400,0.5021938681602478
1735550075.557272,29620,0.4969028830528259
1735550085.3131242,29780,0.504623293876648
1735550086.5447838,29800,0.49231863021850586
1735550090.220439,29860,0.4951861500740051
1735550092.6773021,29900,0.4843372702598572
1735550093.9264598,29920,0.49967965483665466
1735550105.032036,30100,0.47354260087013245
1735550113.7386298,30240,0.46959227323532104
1735550132.231439,30540,0.4906403720378876
1735550133.476192,30560,0.5056414008140564
1735550137.1452,30620,0.4990622103214264
1735550160.497612,31000,0.4821765422821045
1735550167.7356732,31100,0.4869363307952881
1735550168.956835,31120,0.4995429515838623
1735550171.4395468,31160,0.4879359304904938
1735550393.4226189,31320,0.4011213481426239
1735550402.736432,31460,0.4001157879829407
1735550404.069984,31480,0.39630261063575745
1735550416.027197,31660,0.40864381194114685
