Wall time,Step,Value
1735829457.157036,0,0.9927268028259277
1735830118.418529,1,0.9934062957763672
1735830804.269939,2,0.993241548538208
1735831538.8106182,3,0.993666410446167
1735832510.527143,4,0.9945255517959595
1735833831.880125,5,0.9943820834159851
1735835387.82262,6,0.9944630861282349
1735836937.141265,7,0.9946602582931519
1735838488.707871,8,0.995267391204834
1735840040.930382,9,0.9958454370498657
1735841575.635894,10,0.9958349466323853
1735843126.1065228,11,0.9961448907852173
