Wall time,Step,Value
1735548345.926848,0,1.2198492288589478
1735549000.74036,1,1.0952357053756714
1735549668.7547562,2,0.7084840536117554
1735550356.674199,3,0.5019623041152954
1735551077.419036,4,0.3894195556640625
1735552065.078183,5,0.3356526494026184
1735553385.532137,6,0.2810327708721161
1735554919.6587908,7,0.27405133843421936
1735556471.3603,8,0.2679653763771057
1735558001.8309681,9,0.265947163105011
1735559552.081418,10,0.26202917098999023
1735561100.881879,11,0.26034852862358093
1735562623.3579578,12,0.2587970495223999
1735564209.484062,13,0.25981706380844116
