Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
Observer,0.75,0.50,0.50,0.50,0.67,0.38
Factory Method,0.75,0.67,0.67,0.67,0.73,0.57
Decorator,0.88,-,0.00,0.00,0.50,0.12
Builder,-,-,-,-,-,-
Singleton,0.88,-,0.00,0.00,0.50,0.12
Adapter,1.00,1.00,1.00,1.00,1.00,1.00
Overall,0.85,0.72,0.43,0.43,0.68,0.44
