Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
Observer,-,-,-,-,-,-
Factory Method,-,-,-,-,-,-
Decorator,-,-,-,-,-,-
Builder,-,-,-,-,-,-
Singleton,0.67,-,0.00,0.00,0.50,0.33
Adapter,0.67,1.00,0.50,0.67,0.75,0.83
Overall,0.67,1.00,0.25,0.33,0.62,0.58
