Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
Observer,0.50,0.00,0.00,0.00,0.38,0.33
Factory Method,-,-,-,-,-,-
Decorator,1.00,1.00,1.00,1.00,1.00,1.00
Builder,-,-,-,-,-,-
Singleton,0.67,0.00,0.00,0.00,0.40,0.17
Adapter,-,-,-,-,-,-
Overall,0.72,0.33,0.33,0.33,0.59,0.50
